"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 28 03:23:36 UTC 2026","Sun Jun 28 03:23:37 UTC 2026","392","chromium","example.spec.ts","","","","get started link",""
"passed","Sun Jun 28 03:23:37 UTC 2026","Sun Jun 28 03:23:38 UTC 2026","594","chromium","saucedemo_Explore.spec.ts","SauceDemo","","","cart",""
"passed","Sun Jun 28 03:23:38 UTC 2026","Sun Jun 28 03:23:38 UTC 2026","357","chromium","saucedemo_Explore.spec.ts","SauceDemo","","","assert_title",""
"passed","Sun Jun 28 03:23:56 UTC 2026","Sun Jun 28 03:23:57 UTC 2026","560","webkit","saucedemo_Explore.spec.ts","SauceDemo","","","assert_title",""
"passed","Sun Jun 28 03:23:36 UTC 2026","Sun Jun 28 03:23:36 UTC 2026","278","chromium","example.spec.ts","","","","has title",""
"passed","Sun Jun 28 03:23:40 UTC 2026","Sun Jun 28 03:23:41 UTC 2026","959","firefox","example.spec.ts","","","","get started link",""
"passed","Sun Jun 28 03:23:38 UTC 2026","Sun Jun 28 03:23:40 UTC 2026","1138","firefox","example.spec.ts","","","","has title",""
"passed","Sun Jun 28 03:23:44 UTC 2026","Sun Jun 28 03:23:51 UTC 2026","6929","webkit","example.spec.ts","","","","has title",""
"passed","Sun Jun 28 03:23:55 UTC 2026","Sun Jun 28 03:23:56 UTC 2026","1292","webkit","saucedemo_Explore.spec.ts","SauceDemo","","","cart",""
"passed","Sun Jun 28 03:23:41 UTC 2026","Sun Jun 28 03:23:42 UTC 2026","583","firefox","saucedemo_Explore.spec.ts","SauceDemo","","","go to page",""
"passed","Sun Jun 28 03:23:37 UTC 2026","Sun Jun 28 03:23:37 UTC 2026","400","chromium","saucedemo_Explore.spec.ts","SauceDemo","","","go to page",""
"passed","Sun Jun 28 03:23:54 UTC 2026","Sun Jun 28 03:23:55 UTC 2026","699","webkit","saucedemo_Explore.spec.ts","SauceDemo","","","go to page",""
"passed","Sun Jun 28 03:23:43 UTC 2026","Sun Jun 28 03:23:43 UTC 2026","549","firefox","saucedemo_Explore.spec.ts","SauceDemo","","","assert_title",""
"passed","Sun Jun 28 03:23:42 UTC 2026","Sun Jun 28 03:23:43 UTC 2026","943","firefox","saucedemo_Explore.spec.ts","SauceDemo","","","cart",""
"passed","Sun Jun 28 03:23:52 UTC 2026","Sun Jun 28 03:23:54 UTC 2026","2191","webkit","example.spec.ts","","","","get started link",""
