"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 28 03:34:56 UTC 2026","Sun Jun 28 03:34:57 UTC 2026","674","webkit","saucedemo_Explore.spec.ts","SauceDemo","","","go to page",""
"passed","Sun Jun 28 03:34:53 UTC 2026","Sun Jun 28 03:34:56 UTC 2026","2719","webkit","example.spec.ts","","","","get started link",""
"passed","Sun Jun 28 03:34:38 UTC 2026","Sun Jun 28 03:34:38 UTC 2026","286","chromium","example.spec.ts","","","","has title",""
"passed","Sun Jun 28 03:34:41 UTC 2026","Sun Jun 28 03:34:41 UTC 2026","348","chromium","saucedemo_Explore.spec.ts","SauceDemo","","","assert_title",""
"passed","Sun Jun 28 03:34:57 UTC 2026","Sun Jun 28 03:34:58 UTC 2026","1332","webkit","saucedemo_Explore.spec.ts","SauceDemo","","","cart",""
"passed","Sun Jun 28 03:34:40 UTC 2026","Sun Jun 28 03:34:41 UTC 2026","610","chromium","saucedemo_Explore.spec.ts","SauceDemo","","","cart",""
"passed","Sun Jun 28 03:34:58 UTC 2026","Sun Jun 28 03:34:59 UTC 2026","567","webkit","saucedemo_Explore.spec.ts","SauceDemo","","","assert_title",""
"passed","Sun Jun 28 03:34:40 UTC 2026","Sun Jun 28 03:34:40 UTC 2026","478","chromium","saucedemo_Explore.spec.ts","SauceDemo","","","go to page",""
"passed","Sun Jun 28 03:34:46 UTC 2026","Sun Jun 28 03:34:47 UTC 2026","547","firefox","saucedemo_Explore.spec.ts","SauceDemo","","","assert_title",""
"passed","Sun Jun 28 03:34:39 UTC 2026","Sun Jun 28 03:34:40 UTC 2026","388","chromium","example.spec.ts","","","","get started link",""
"passed","Sun Jun 28 03:34:47 UTC 2026","Sun Jun 28 03:34:53 UTC 2026","5166","webkit","example.spec.ts","","","","has title",""
"passed","Sun Jun 28 03:34:45 UTC 2026","Sun Jun 28 03:34:46 UTC 2026","958","firefox","saucedemo_Explore.spec.ts","SauceDemo","","","cart",""
"passed","Sun Jun 28 03:34:43 UTC 2026","Sun Jun 28 03:34:44 UTC 2026","957","firefox","example.spec.ts","","","","get started link",""
"passed","Sun Jun 28 03:34:44 UTC 2026","Sun Jun 28 03:34:45 UTC 2026","662","firefox","saucedemo_Explore.spec.ts","SauceDemo","","","go to page",""
"passed","Sun Jun 28 03:34:42 UTC 2026","Sun Jun 28 03:34:43 UTC 2026","1173","firefox","example.spec.ts","","","","has title",""
